date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:24	15566/15566	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202020%2017:26:34%20GMT	http://www.speakforindiadelhi.com/speaker.php	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/speaker.html	(from )
23:22:24	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:39:09%20GMT	http://www.speakforindiadelhi.com/robots.txt		(from )
23:22:25	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%221d975-59566bed60b33-gzip%22	http://www.speakforindiadelhi.com/assets/css/bootstrap.min.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/bootstrap.min.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:26	95577/95577	---M-Z	200	added ('OK')	text/css	etag:%2217559-5a1086d08a39b-gzip%22	http://www.speakforindiadelhi.com/assets/css/manual.css?v=1.26	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/manuald3cb.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:26	25427/25427	---M-Z	200	added ('OK')	text/css	etag:%226353-59566bed6074b-gzip%22	http://www.speakforindiadelhi.com/assets/css/animate.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/animate.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:26	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22b7d-59566bed60f1b-gzip%22	http://www.speakforindiadelhi.com/assets/css/owlcarousel/owl.carousel.min.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/owlcarousel/owl.carousel.min.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:26	941/941	---M-Z	200	added ('OK')	text/css	etag:%223ad-59566bed60f1b-gzip%22	http://www.speakforindiadelhi.com/assets/css/owlcarousel/owl.theme.default.min.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/owlcarousel/owl.theme.default.min.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:26	15972/15972	---M-Z	200	added ('OK')	text/css	etag:%223e64-59566bed6074b-gzip%22	http://www.speakforindiadelhi.com/assets/css/bootstrap-responsive.min.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/bootstrap-responsive.min.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:28	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:28	1942/1942	---M-Z	200	added ('OK')	text/css	etag:%22796-59566bed60b33-gzip%22	http://www.speakforindiadelhi.com/assets/css/css-fontello/animation.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/css-fontello/animation.css	(from http://www.speakforindiadelhi.com/speaker.php)
23:22:28	3379/3379	---M-Z	200	added ('OK')	text/css	etag:%22d33-59566bed60b33-gzip%22	http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello.css	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/css-fontello/fontello.css	(from http://www.speakforindiadelhi.com/speaker.php)
